,identifiant,Prénom,Nom,Région,Département,Numéro de circonscription,Profession,Groupe politique (complet),Groupe politique (abrégé)
0,642868,Paul,Christophe,Hauts-de-France,Nord,14,Fonctionnaire de catégorie A,Horizons et apparentés,HOR
1,719146,Jean-Félix,Acquaviva,Corse,Haute-Corse,2,Cadre,"Libertés, Indépendants, Outre-mer et Territoires",LIOT
2,795692,William,Martinet,Ile-de-France,Yvelines,11,Cadre administratif,La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
3,795050,Astrid,Panosyan-Bouvet,Ile-de-France,Paris,4,Cadre administratif et commercial d'entreprise,Renaissance,RE
4,719412,Sandrine,Le Feur,Bretagne,Finistère,4,Agriculteur-propriétaire exploitant,Renaissance,RE
5,720414,Patrice,Perrot,Bourgogne-Franche-Comté,Nièvre,2,Industriel-Chef d'entreprise,Renaissance,RE
6,721960,Danièle,Obono,Ile-de-France,Paris,17,Bibliothécaire,La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
7,794938,Idir,Boumertit,Auvergne-Rhône-Alpes,Rhône,14,Employé administratif d'entreprise,La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
8,795950,David,Amiel,Ile-de-France,Paris,13,Sans profession déclarée,Renaissance,RE
9,720764,Florence,Lasserre,Nouvelle-Aquitaine,Pyrénées-Atlantiques,5,Employée du secteur privé,Démocrate (MoDem et Indépendants),Dem
10,793608,Katiana,Levavasseur,Normandie,Eure,2,Ouvrier de type industriel,Rassemblement National,RN
11,793190,Laurence,Heydel Grillere,Auvergne-Rhône-Alpes,Ardèche,2,Ingénieur agronome,Renaissance,RE
12,795828,Johnny,Hajjar,Martinique,Martinique,3,Professeur du second degré,Socialistes et apparentés (membre de lintergroupe NUPES),SOC
13,793548,Caroline,Colombier,Nouvelle-Aquitaine,Charente,3,Avocate / Ancien cadre ,Rassemblement National,RN
14,720976,Max,Mathiasin,Guadeloupe,Guadeloupe,3,Fonction publique territoriale,"Libertés, Indépendants, Outre-mer et Territoires",LIOT
15,793872,Nathalie,Oziol,Occitanie,Hérault,2,"Professeur, profession scientifique",La France insoumise - Nouvelle Union Populaire écologique et sociale,LFI - NUPES
16,720822,Bruno,Bilde,Hauts-de-France,Pas-de-Calais,12,Juriste,Rassemblement National,RN
17,718926,Pierre,Dharréville,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,13,Employé (secteur privé),Gauche démocrate et républicaine - NUPES,GDR - NUPES
18,722102,Annie,Vidal,Normandie,Seine-Maritime,2,Retraitée de la fonction publique hospitalière,Renaissance,RE
19,722292,Thomas,Rudigoz,Auvergne-Rhône-Alpes,Rhône,1,Sans profession déclarée,Renaissance,RE
20,720362,Belkhir,Belhaddad,Grand Est,Moselle,1,Industriel-Chef d'entreprise,Renaissance,RE
21,793672,Christine,Loir,Normandie,Eure,1,Profession intermédiaire de la santé et du travail social,Rassemblement National,RN
22,718884,Valérie,Bazin-Malgras,Grand Est,Aube,2,Commerçante,Les Républicains,LR
23,609590,Valérie,Rabault,Occitanie,Tarn-et-Garonne,1,Ingénieure,Socialistes et apparentés (membre de lintergroupe NUPES),SOC
24,608416,Patrick,Hetzel,Grand Est,Bas-Rhin,7,Professeur des Universités,Les Républicains,LR
25,605694,Olivier,Falorni,Nouvelle-Aquitaine,Charente-Maritime,1,Professeur du secondaire,Démocrate (MoDem et Indépendants),Dem
