Liste des candidats,Nuance,Voix,Elu(e),pourcentage_inscrits,pourcentage_exprimes,abstentions,circo,dep,reg
M. Jérôme BUISSON,RN,30221,QUALIF T2,0.3144123430331152,0.46006881013274875,28539,0104,01,84
M. Christophe COQUELET,ENS,14367,QUALIF T2,0.14947096827890427,0.2187157471684326,28539,0104,01,84
Mme Charline LIOTIER,UG,13113,QUALIF T2,0.13642464028964096,0.19962550237486298,28539,0104,01,84
M. Guy BILLOUDET,LR,7179,NON,0.07468866717298349,0.10928936792108147,28539,0104,01,84
M. Sylvain COUSSON,EXG,706,NON,0.00734506185041459,0.010747777371818293,28539,0104,01,84
M. Jérémy NICAUD,DIV,85,NON,0.0008843204777411334,0.0012939958592132505,28539,0104,01,84
M. Yannick BRESSON,DIV,17,NON,0.00017686409554822669,0.0002587991718426501,28539,0104,01,84
M. Marc CHAVENT,UXD,20161,QUALIF T2,0.258806161745828,0.39123263215089654,24927,0105,01,84
Mme Florence PISANI,UG,12542,QUALIF T2,0.1610012836970475,0.2433827524644881,24927,0105,01,84
M. Damien ABAD,DVD,9651,NON,0.12388960205391528,0.18728168904758208,24927,0105,01,84
Mme Nathalie DESCOURS,ENS,6036,NON,0.07748395378690628,0.11713110300395871,24927,0105,01,84
M. Fabrice BOURDIN,LR,1623,NON,0.020834403080872914,0.03149499340215788,24927,0105,01,84
Mme Sylvie CROZET,EXG,606,NON,0.007779204107830552,0.011759683303578359,24927,0105,01,84
M. Thomas CHATELARD,ECO,484,NON,0.0062130937098844674,0.009392222308468524,24927,0105,01,84
Mme Maria Cristina PATRU,REC,429,NON,0.0055070603337612324,0.008324924318869829,24927,0105,01,84
Mme Olga GIVERNET,ENS,17420,QUALIF T2,0.20706050160465947,0.32427401340282946,29169,0103,01,84
Mme Karine DUBARRY,RN,17252,QUALIF T2,0.2050635920599073,0.32114668652271033,29169,0103,01,84
M. Christian JOLIE,UG,13497,QUALIF T2,0.16043028646142873,0.25124720774385706,29169,0103,01,84
Mme Khadija UNAL,LR,3663,NON,0.043539759895399974,0.06818689501116902,29169,0103,01,84
Mme Annick VEILLEROT,DSV,769,NON,0.009140615713776298,0.014314966492926285,29169,0103,01,84
M. Fulgence KOUASSI,DIV,630,NON,0.007488410792820635,0.01172747580044676,29169,0103,01,84
Mme Cécile MAISONNETTE,EXG,455,NON,0.0054082966837037914,0.008469843633655993,29169,0103,01,84
Mme Sofia TONIZZO,DIV,34,NON,0.00040413645548555805,0.0006329113924050633,29169,0103,01,84
M. Andréa KOTARAC,RN,28189,QUALIF T2,0.2767045566091446,0.3919602881058984,28438,0102,01,84
M. Romain DAUBIÉ,ENS,17414,QUALIF T2,0.17093664723089305,0.24213687811118217,28438,0102,01,84
M. Maxime MEYER,UG,16981,QUALIF T2,0.16668629876121482,0.23611613226174255,28438,0102,01,84
M. Alexandre NANCHI,LR,6737,NON,0.0661307104855017,0.09367613114936456,28438,0102,01,84
M. Olivier EYRAUD,EXD,1863,NON,0.01828729607161788,0.025904502349898495,28438,0102,01,84
M. Vincent GOUTAGNY,EXG,734,NON,0.0072049786991774155,0.010206068021913846,28438,0102,01,84
M. Christophe MAÎTRE,RN,23819,QUALIF T2,0.2742765680596018,0.3937350194230928,25013,0101,01,84
M. Xavier BRETON,LR,14495,QUALIF T2,0.16691040152919637,0.23960657905612034,25013,0101,01,84
M. Sébastien GUERAUD,UG,14188,QUALIF T2,0.16337528643644278,0.23453177948590792,25013,0101,01,84
M. Vincent GUILLERMIN,ENS,7063,NON,0.0813306771990834,0.11675345069840483,25013,0101,01,84
M. Éric LAHY,EXG,419,NON,0.004824798774800502,0.0069261922472931645,25013,0101,01,84
M. Michael MENDES,DSV,314,NON,0.0036157203228815217,0.005190511612529961,25013,0101,01,84
M. Cyril VINCENT,DSV,197,NON,0.002268461476457515,0.003256467476650963,25013,0101,01,84
M. José BEAURAIN,RN,25913,OUI,0.32827860545251847,0.5503918778275737,30463,0204,02,32
M. Benjamin MAURICE,ENS,10448,NON,0.13236039322995843,0.22191542235721418,30463,0204,02,32
