Liste des candidats,Nuance,Voix,Elu(e),pourcentage_inscrits,pourcentage_exprimes,abstentions,circo,dep,reg,groupe_nuance
Mme Caroline JANVIER,ENS,13263,QUALIF T2,0.1496935700499994,0.23025242179091,29765,4502,45,24,en
M. Benoît BORDAT,ENS,12225,QUALIF T2,0.1697657302356584,0.2464817129722972,21398,2102,21,27,en
M. Stéphane SENCE,ENS,15576,QUALIF T2,0.1265693181541161,0.1859132738926487,37023,3305,33,75,en
Mme Lucie ETONNO,UG,18929,QUALIF T2,0.1568125522943228,0.2332565217927074,36734,8501,85,52,fp
M. Michel DELPON,ENS,11173,QUALIF T2,0.1325605675912963,0.1957839770098829,25227,2402,24,75,en
M. Pierrick COLPIN,UG,11290,QUALIF T2,0.1391079349433218,0.2307755202158538,30997,5921,59,32,fp
M. Pierre MOREL A L'HUISSIER,DVD,10451,QUALIF T2,0.1748711598955893,0.2403744422466534,14919,4801,48,76,lr
Mme Amandine DEWAELE,UG,17063,QUALIF T2,0.1829518039993566,0.2662848403508224,26494,1902,19,75,fp
Mme Marie-Laure LAFARGUE,UG,20466,QUALIF T2,0.1865684567490451,0.2708002540489044,31682,4001,40,75,fp
M. Gwenhaël FRANÇOIS,ENS,14829,QUALIF T2,0.1635563496790417,0.2451722769658091,27607,1603,16,75,en
Mme Aude LUQUET,ENS,12816,QUALIF T2,0.1796492801973675,0.2904146838885112,25761,7701,77,11,en
Mme Théa FOUDRINIER,UG,9474,QUALIF T2,0.1294191574230916,0.1790757017295151,19833,7504,75,11,fp
M. Alain ROUBIAN,UG,12039,QUALIF T2,0.1465347257722924,0.2219907065938929,26733,7406,74,84,fp
M. Samuel DEGUARA,ENS,14690,QUALIF T2,0.2153422167494905,0.3054943226718795,17951,1202,12,76,en
M. Lionel ROYER-PERREAUT,ENS,12575,QUALIF T2,0.1578088724352136,0.2513140276195615,28613,1306,13,93,en
M. Daniel IBANEZ,UG,11530,QUALIF T2,0.1545928696888031,0.2180532178451878,20530,7303,73,84,fp
M. Gabriel BEHAGHEL,ENS,8857,QUALIF T2,0.1293445878848063,0.2083166733306677,24480,1802,18,24,en
Mme Sihame MUSCIANISI,UG,10857,QUALIF T2,0.1420199615419833,0.1926161160983571,19223,9206,92,11,fp
Mme Cécile RILHAC,ENS,15013,QUALIF T2,0.1558885220027828,0.2352139376752784,31175,9503,95,11,en
M. Julien LASSALLE,UG,18525,QUALIF T2,0.1767990074441687,0.2538714540222009,29057,8103,81,76,fp
Mme Gisèle JEAN,UG,13020,QUALIF T2,0.1797870724533616,0.2672633221118318,21754,8603,86,75,fp
M. Francis DUBOIS,LR,18816,QUALIF T2,0.205119260454367,0.2863970532275986,23227,1901,19,75,lr
Mme Valérie SIMONET,DVD,13536,QUALIF T2,0.1504334296510335,0.2212415416298911,26423,2301,23,75,lr
M. Pierre SMOLARZ,UG,18074,QUALIF T2,0.1925777545736417,0.2691185229303157,24830,2903,29,53,fp
M. Jérémy DAUPHIN,UG,19685,QUALIF T2,0.1883425662810834,0.257108525005551,26320,2202,22,53,fp
Mme Anne PATAULT,ENS,16595,QUALIF T2,0.1698775694046351,0.2406293047197854,26760,3504,35,53,en
